Date,MMM,AXP,AAPL,BA,CAT,CVX,CSCO,KO,DOW,XOM,GS,HD,IBM,INTC,JNJ,JPM,MCD,MRK,MSFT,NKE,PFE,PG,RTX,TRV,UNH,VZ,V,WMT,WBA,DIS
2019-03-20,201.0825653076172,108.63384246826172,185.72898864746094,367.3497619628906,128.09312438964844,119.6280288696289,51.33005142211914,44.12987518310547,46.89089584350586,77.35424041748047,190.0020294189453,181.30174255371094,133.3702392578125,52.5838737487793,133.55992126464844,100.48265075683594,180.63064575195312,79.78641510009766,115.98544311523438,85.76426696777344,40.60071563720703,99.13133239746094,77.210693359375,128.2735137939453,246.2078857421875,54.74200439453125,152.81504821777344,96.77396392822266,60.71189498901367,108.66201782226562
2019-03-21,202.34719848632812,109.6635971069336,192.56942749023438,363.9707946777344,129.1043243408203,120.75053405761719,51.985416412353516,44.11048126220703,46.11879348754883,77.80132293701172,190.25624084472656,185.07196044921875,135.1281280517578,53.385040283203125,134.34791564941406,98.89639282226562,181.997802734375,80.6321029663086,118.65019226074219,87.0701675415039,40.77401351928711,99.8817367553711,78.17807006835938,131.24278259277344,247.70184326171875,55.33053207397461,154.85260009765625,97.18600463867188,61.49509048461914,107.34808349609375
2019-03-22,197.56871032714844,107.34910583496094,188.58164978027344,353.68743896484375,124.972900390625,118.09297943115234,50.82889938354492,44.51757049560547,45.76099395751953,76.55521392822266,184.76113891601562,183.88339233398438,133.2269287109375,52.03673553466797,133.19024658203125,95.90650939941406,182.42747497558594,79.99054718017578,115.52157592773438,81.31232452392578,40.292625427246094,99.07286834716797,77.11211395263672,131.7604217529297,242.85629272460938,56.72589111328125,152.13919067382812,96.42076873779297,60.34447479248047,106.92327880859375
2019-03-25,196.1689453125,106.93720245361328,186.30148315429688,361.783203125,126.52338409423828,117.9011001586914,50.81926345825195,44.61449432373047,46.27886962890625,76.02251434326172,184.3211212158203,184.7894287109375,132.96897888183594,51.5677604675293,132.8983917236328,95.10857391357422,181.363037109375,80.04886627197266,116.12362670898438,81.45082092285156,40.33113479614258,99.36521911621094,77.26615142822266,131.8092803955078,242.6302490234375,57.02964782714844,152.0994110107422,96.31285095214844,59.6483039855957,106.48858642578125
2019-03-26,200.05931091308594,107.3883285522461,184.37667846679688,361.7051086425781,126.96638488769531,119.09075164794922,51.301143646240234,45.20573806762695,45.99639129638672,77.01179504394531,186.45269775390625,184.45819091796875,133.9625701904297,52.21259689331055,134.80514526367188,96.06034088134766,183.08175659179688,80.60293579101562,116.37034606933594,82.48960876464844,40.84141540527344,100.39824676513672,77.72210693359375,131.8385772705078,239.2196807861328,57.55172348022461,154.35562133789062,96.46001434326172,59.87069320678711,108.81021118164062
2019-03-27,199.9821014404297,106.87836456298828,186.03497314453125,365.4454040527344,126.35003662109375,117.80516052246094,51.21440887451172,45.17666244506836,47.173370361328125,76.42202758789062,185.80735778808594,184.37051391601562,133.02630615234375,51.93903732299805,134.93162536621094,95.73347473144531,183.11105346679688,79.99054718017578,115.24522399902344,82.20270538330078,40.456298828125,100.28131103515625,77.8207015991211,133.17669677734375,237.56849670410156,57.78902816772461,153.28219604492188,95.37100982666016,60.170433044433594,108.94851684570312
2019-03-28,201.3046112060547,107.05489349365234,186.28173828125,365.6700439453125,127.4767837524414,118.02582550048828,51.42643356323242,45.147586822509766,47.879554748535156,76.80252075195312,186.93179321289062,185.1596221923828,133.67596435546875,51.89018249511719,135.10671997070312,96.81982421875,184.94696044921875,80.321044921875,115.40314483642578,83.14257049560547,40.716251373291016,100.91476440429688,78.41836547851562,133.71389770507812,238.07955932617188,56.08041763305664,153.7294464111328,95.29252624511719,60.441165924072266,109.37332916259766
2019-03-29,200.58058166503906,107.19218444824219,187.49586486816406,372.486572265625,130.48146057128906,118.17933654785156,52.033607482910156,45.418975830078125,48.61399459838867,76.85960388183594,187.72381591796875,186.94244384765625,134.80331420898438,52.466636657714844,135.99197387695312,97.31974029541016,185.44497680664062,80.84595489501953,116.39996337890625,83.31074523925781,40.88955307006836,101.40204620361328,79.41654205322266,133.9678497314453,243.0233917236328,56.12788391113281,155.24020385742188,95.6849594116211,61.17601013183594,109.68946075439453
2019-04-01,204.5964813232422,109.54590606689453,188.7692108154297,382.3695373535156,135.06549072265625,119.86788177490234,52.987728118896484,45.28327941894531,50.374755859375,77.74425506591797,192.36825561523438,190.5957489013672,136.90513610839844,53.25802230834961,135.20399475097656,100.59801483154297,183.97039794921875,80.97232818603516,117.46585845947266,84.31985473632812,41.245784759521484,101.0024642944336,82.06602478027344,134.80784606933594,241.33285522460938,56.08991241455078,156.3037109375,95.96946716308594,61.38873291015625,111.15159606933594
2019-04-02,204.77987670898438,108.8593978881836,191.51329040527344,381.5979919433594,135.00770568847656,119.85828399658203,53.2864990234375,45.13789367675781,52.964115142822266,77.41131591796875,193.11135864257812,189.300048828125,136.61851501464844,53.111473083496094,133.96852111816406,101.07870483398438,183.9313507080078,80.88483428955078,117.63363647460938,83.46903991699219,41.313175201416016,101.10967254638672,81.27117156982422,133.62599182128906,240.22222900390625,55.55834197998047,156.82054138183594,95.10612487792969,53.527801513671875,110.60823822021484
